Emotion,Text
guilt,I felt guilty when I lost K43 for my friend when he was arrested.     
joy,I felt joy when I passed my Malawi School Certificate of  Education.     
fear,When I had crossed Lilongwe forest I heard that there was a rabid  hyena just near the path in the forest.     
anger,I was angry when I heard that my only girl was going about with  another man. So I decided to drop her but later the story came to  be untrue.     
sadness,When I was not selected to go to the University of Malawi I felt  very sad.     
disgust,When I was presumed to have stolen maize from the school garden.     
shame,I once proposed my own niece whom I did not know but I discovered  after she was my girlfriend.     
guilt,A certain colleague of mine sent me to buy a bag of flour for him     
joy,When I married my wife and took her home for the first time.     
fear,When my friend was involved in a car accident.     
anger,When I was charmed by my relatives.     
sadness,When my mother died in August 1978.     
disgust,When I entered the wound intensive care at the Central Hospital  in Blantyre which was stinking.     
shame,When I first failed my standard 8 exams for the first attempt for  Form I selection.     
guilt,When I had beaten my auntie.     
joy,My friend took me to Civo Stadium to watch and listen to the  music of the International singer Sam Mangwana. I had no hope of  going there since I had no money so he gave me the money for  admission.     
fear,I had fear when I was left alone at the bus depot at night. I had  problems of how to move to this place.     
anger,I felt angry when I heard that my sister had failed the  Examinations which we hoped she was going to pass with  distinctions.     
sadness,I felt sad when I heard that my girlfriend was double-crossing me  with the boy who is my best friend.     
disgust,I felt disgust when I saw a friend walking in stagnant water  without putting on gum boots.     
shame,I experienced shame when I failed to keep a promise to meet my  friend at the bus depot. He later came and asked me why I had not  turned up.     
guilt,I felt guilty of revealing a secret to my in-law. I told her that  my brother and I had gone to disconight which is a thing my  brother didn't want to let her know. Later my brother was accused  of spending a night out.     
